"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","SIGI","DISCRIMFAMCODE","IDX","A","2019",22.1,
"BEL","SIGI","DISCRIMFAMCODE","IDX","A","2019",22,
"CZE","SIGI","DISCRIMFAMCODE","IDX","A","2019",27.3,
"DNK","SIGI","DISCRIMFAMCODE","IDX","A","2019",15,
"FIN","SIGI","DISCRIMFAMCODE","IDX","A","2019",21.8,
"FRA","SIGI","DISCRIMFAMCODE","IDX","A","2019",27.6,
"DEU","SIGI","DISCRIMFAMCODE","IDX","A","2019",18.1,
"GRC","SIGI","DISCRIMFAMCODE","IDX","A","2019",45.1,
"IRL","SIGI","DISCRIMFAMCODE","IDX","A","2019",21.8,
"ITA","SIGI","DISCRIMFAMCODE","IDX","A","2019",21.8,
"LUX","SIGI","DISCRIMFAMCODE","IDX","A","2019",21.9,
"NLD","SIGI","DISCRIMFAMCODE","IDX","A","2019",23.8,
"POL","SIGI","DISCRIMFAMCODE","IDX","A","2019",21.9,
"PRT","SIGI","DISCRIMFAMCODE","IDX","A","2019",21.8,
"SVK","SIGI","DISCRIMFAMCODE","IDX","A","2019",26.5,
"ESP","SIGI","DISCRIMFAMCODE","IDX","A","2019",27.7,
"SWE","SIGI","DISCRIMFAMCODE","IDX","A","2019",15.1,
"BGR","SIGI","DISCRIMFAMCODE","IDX","A","2019",27.5,
"HRV","SIGI","DISCRIMFAMCODE","IDX","A","2019",22,
"CYP","SIGI","DISCRIMFAMCODE","IDX","A","2019",42.3,
"EST","SIGI","DISCRIMFAMCODE","IDX","A","2019",21.8,
"LVA","SIGI","DISCRIMFAMCODE","IDX","A","2019",21.8,
"LTU","SIGI","DISCRIMFAMCODE","IDX","A","2019",27.3,
"ROU","SIGI","DISCRIMFAMCODE","IDX","A","2019",28,
"SVN","SIGI","DISCRIMFAMCODE","IDX","A","2019",21.8,
"HUN","SIGI","DISCRIMFAMCODE","IDX","A","2019",34.1,
"MLT","SIGI","DISCRIMFAMCODE","IDX","A","2019",24.9,
