"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",2.8,
"BEL","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",2.2,
"CZE","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.2,
"DNK","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.1,
"FIN","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.3,
"FRA","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",2.8,
"DEU","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.4,
"GRC","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",1.9,
"HUN","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.7,
"IRL","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.3,
"ITA","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.2,
"LUX","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",1.1,
"NLD","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.1,
"POL","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",1.2,
"PRT","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.7,
"SVK","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",1.1,
"ESP","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",4,
"SWE","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.3,
"BGR","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",1.5,
"HRV","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",2,
"CYP","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",3.2,
"EST","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.5,
"LVA","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.7,
"LTU","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0,
"ROU","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",6.8,
"SVN","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.2,
"MLT","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.5,
